id,char_count,word_count,avg_word_length,sentiment_polarity,sentiment_subjectivity,adult_keywords_count,violence_keywords_count,uppercase_ratio,punctuation_count,exclamation_count,question_count,number_count
sample_00075,37,7,4.428571428571429,0.0,0.0,0,0,0.0,0,0,0,0
sample_00076,32,4,7.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00077,34,5,6.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00078,37,5,6.6,0.0,0.0,0,0,0.0,0,0,0,0
sample_00079,36,7,4.285714285714286,0.0,0.0,0,0,0.0,0,0,0,0
sample_00080,39,6,5.666666666666667,0.04999999999999999,0.85,3,0,0.0,0,0,0,0
sample_00081,29,4,6.5,0.0,0.0,1,0,0.0,0,0,0,0
sample_00082,33,4,7.5,0.0,0.0,0,0,0.0,0,0,0,0
sample_00083,32,6,4.5,0.5,1.0,0,0,0.0,0,0,0,0
sample_00084,40,4,9.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00085,39,6,5.666666666666667,0.0,0.0,0,0,0.0,0,0,0,0
sample_00086,51,7,6.428571428571429,0.85,1.0,0,0,0.0,0,0,0,0
sample_00087,28,4,6.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00088,44,6,6.5,0.25,0.25,0,0,0.0,0,0,0,0
sample_00089,30,6,4.166666666666667,0.5,0.5,0,0,0.0,0,0,0,0
sample_00090,37,5,6.6,-0.16666666666666666,0.5,0,0,0.0,0,0,0,0
sample_00091,29,4,6.5,0.0,0.0,0,0,0.0,0,0,0,0
sample_00092,41,5,7.4,0.0,0.0,0,0,0.0,0,0,0,0
sample_00093,38,8,3.875,0.0,0.0,0,0,0.0,0,0,0,0
sample_00094,37,5,6.6,0.0,0.0,0,0,0.0,0,0,0,0
sample_00095,34,6,4.833333333333333,0.5,1.0,0,0,0.0,0,0,0,0
sample_00096,29,4,6.5,0.0,0.0,1,0,0.0,0,0,0,0
sample_00097,45,6,6.666666666666667,0.0,0.0,0,0,0.0,0,0,0,0
sample_00098,40,8,4.125,-0.8,1.0,0,0,0.0,0,0,0,0
sample_00099,39,6,5.666666666666667,0.0,0.0,0,0,0.0,0,0,0,0
sample_00100,39,6,5.666666666666667,0.0,0.0,0,0,0.0,0,0,0,0
sample_00101,32,4,7.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00102,36,5,6.4,0.0,0.0,0,0,0.0,0,0,0,0
sample_00103,24,5,4.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00104,34,5,6.0,0.0,0.4,0,1,0.0,0,0,0,0
sample_00105,30,5,5.2,-0.16666666666666666,0.5,0,0,0.0,0,0,0,0
sample_00106,30,6,4.166666666666667,0.5,0.5,0,0,0.0,0,0,0,0
sample_00107,35,5,6.2,0.0,0.0,0,0,0.0,0,0,0,0
sample_00108,40,8,4.125,0.0,0.0,0,0,0.0,0,0,0,0
sample_00109,42,6,6.166666666666667,0.1,0.1,0,0,0.0,0,0,0,0
sample_00110,40,4,9.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00111,34,5,6.0,0.0,0.4,0,1,0.0,0,0,0,0
sample_00112,46,6,6.833333333333333,0.0,0.0,0,0,0.0,0,0,0,0
sample_00113,23,5,3.8,0.0,0.0,0,1,0.0,0,0,0,0
sample_00114,38,4,8.75,-0.2,0.4,0,1,0.0,0,0,0,0
sample_00115,32,5,5.6,0.0,0.0,0,0,0.0,0,0,0,0
sample_00116,41,6,6.0,0.25,0.25,0,0,0.0,0,0,0,0
sample_00117,27,5,4.6,-0.6583333333333333,0.65,0,0,0.0,0,0,0,0
sample_00118,26,5,4.4,0.0,0.0,0,0,0.0,0,0,0,0
sample_00119,29,5,5.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00120,29,4,6.5,0.0,0.0,0,0,0.0,0,0,0,0
sample_00121,35,5,6.2,0.0,0.0,1,0,0.0,0,0,0,0
sample_00122,41,7,5.0,-0.7142857142857143,0.8571428571428571,0,0,0.0,0,0,0,0
sample_00123,34,5,6.0,0.1,0.3,3,1,0.0,0,0,0,0
sample_00124,51,7,6.428571428571429,0.85,1.0,0,0,0.0,0,0,0,0
sample_00125,37,6,5.333333333333333,-0.8,1.0,0,2,0.0,0,0,0,0
sample_00126,46,7,5.714285714285714,0.85,1.0,0,0,0.0,0,0,0,0
sample_00127,44,6,6.5,0.25,0.25,0,0,0.0,0,0,0,0
sample_00128,33,6,4.666666666666667,-0.7999999999999999,1.0,0,0,0.0,0,0,0,0
sample_00129,32,6,4.5,-0.31666666666666665,0.3,0,0,0.0,0,0,0,0
sample_00130,29,4,6.5,0.0,0.0,0,0,0.0,0,0,0,0
sample_00131,51,7,6.428571428571429,0.85,1.0,0,0,0.0,0,0,0,0
sample_00132,34,5,6.0,0.25,0.8500000000000001,1,0,0.0,0,0,0,0
sample_00133,35,5,6.2,0.0,0.0,0,0,0.0,0,0,0,0
sample_00134,32,6,4.5,-0.31666666666666665,0.3,0,0,0.0,0,0,0,0
sample_00135,28,5,4.8,-0.8,0.8,0,0,0.0,0,0,0,0
sample_00136,34,5,6.0,0.25,0.8500000000000001,1,0,0.0,0,0,0,0
sample_00137,29,4,6.5,0.0,0.0,1,0,0.0,0,0,0,0
sample_00138,33,5,5.8,-0.3,0.6,0,0,0.0,0,0,0,0
sample_00139,30,6,4.166666666666667,0.5,0.5,0,0,0.0,0,0,0,0
sample_00140,46,7,5.714285714285714,1.0,1.0,0,0,0.0,0,0,0,0
sample_00141,34,6,4.833333333333333,0.0,0.0,0,0,0.0,0,0,0,0
sample_00142,35,5,6.2,0.0,0.0,1,0,0.0,0,0,0,0
sample_00143,46,7,5.714285714285714,1.0,1.0,0,0,0.0,0,0,0,0
sample_00144,30,5,5.2,0.0,0.0,0,0,0.0,0,0,0,0
sample_00145,30,4,6.75,0.0,0.4,0,2,0.0,0,0,0,0
sample_00146,42,6,6.166666666666667,0.1,0.1,0,0,0.0,0,0,0,0
sample_00147,39,6,5.666666666666667,0.0,0.0,0,0,0.0,0,0,0,0
sample_00148,30,4,6.75,0.0,0.0,0,0,0.0,0,0,0,0
sample_00149,32,4,7.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00150,35,5,6.2,0.0,0.0,0,0,0.0,0,0,0,0
sample_00151,44,6,6.5,0.25,0.25,0,0,0.0,0,0,0,0
sample_00152,26,5,4.4,0.2,0.30000000000000004,0,0,0.0,0,0,0,0
sample_00153,43,6,6.333333333333333,0.04999999999999999,0.85,3,0,0.0,0,0,0,0
sample_00154,36,7,4.285714285714286,0.0,0.0,0,0,0.0,0,0,0,0
sample_00155,34,5,6.0,0.0,0.4,0,1,0.0,0,0,0,0
sample_00156,32,6,4.5,0.25,1.0,0,0,0.0,0,0,0,0
sample_00157,34,5,6.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00158,43,6,6.333333333333333,0.2,0.30000000000000004,0,0,0.0,0,0,0,0
sample_00159,32,4,7.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00160,49,10,4.0,0.0,0.7,0,0,0.0,0,0,0,0
sample_00161,35,5,6.2,0.2,0.6,2,0,0.0,0,0,0,0
sample_00162,32,6,4.5,0.0,0.0,0,0,0.0,0,0,0,0
sample_00163,31,4,7.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00164,38,4,8.75,0.0,0.0,0,0,0.0,0,0,0,0
sample_00165,36,5,6.4,0.0,0.0,0,0,0.0,0,0,0,0
sample_00166,50,8,5.375,-0.5,0.5,0,0,0.0,0,0,0,0
sample_00167,29,5,5.0,-0.875,1.0,0,2,0.0,0,0,0,0
sample_00168,34,5,6.0,0.25,0.8500000000000001,1,0,0.0,0,0,0,0
sample_00169,34,5,6.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00170,28,4,6.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00171,24,5,4.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00172,32,4,7.25,0.0,0.4,0,1,0.0,0,0,0,0
sample_00173,45,6,6.666666666666667,0.0,0.0,0,0,0.0,0,0,0,0
sample_00174,34,6,4.833333333333333,0.5,1.0,0,0,0.0,0,0,0,0
sample_00175,38,5,6.8,0.0,0.0,0,1,0.0,0,0,0,0
sample_00176,46,7,5.714285714285714,0.85,1.0,0,0,0.0,0,0,0,0
sample_00177,30,6,4.166666666666667,0.5,0.5,0,0,0.0,0,0,0,0
sample_00178,28,5,4.8,0.0,0.0,0,0,0.0,0,0,0,0
sample_00179,33,4,7.5,0.0,0.0,0,0,0.0,0,0,0,0
sample_00180,35,6,5.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00181,33,4,7.5,0.0,0.0,0,0,0.0,0,0,0,0
sample_00182,27,5,4.6,-0.875,1.0,0,1,0.0,0,0,0,0
sample_00183,50,8,5.375,-0.5,0.5,0,0,0.0,0,0,0,0
sample_00184,31,4,7.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00185,36,4,8.25,0.0,0.0,0,1,0.0,0,0,0,0
sample_00186,32,4,7.25,-0.2,0.4,0,2,0.0,0,0,0,0
sample_00187,35,5,6.2,0.0,0.0,1,0,0.0,0,0,0,0
sample_00188,30,6,4.166666666666667,0.5,0.5,0,0,0.0,0,0,0,0
sample_00189,28,4,6.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00190,39,6,5.666666666666667,0.0,0.0,0,0,0.0,0,0,0,0
sample_00191,32,5,5.6,0.0,0.0,1,0,0.0,0,0,0,0
sample_00192,17,4,3.5,0.2,0.30000000000000004,0,0,0.0,0,0,0,0
sample_00193,25,5,4.2,0.0,0.0,0,0,0.0,0,0,0,0
sample_00194,29,5,5.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00195,32,4,7.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00196,44,8,4.625,-0.31666666666666665,0.3,0,0,0.0,0,0,0,0
sample_00197,32,4,7.25,0.0,0.4,0,1,0.0,0,0,0,0
sample_00198,32,4,7.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00199,26,5,4.4,0.2,0.30000000000000004,0,0,0.0,0,0,0,0
sample_00200,42,6,6.166666666666667,0.1,0.1,0,0,0.0,0,0,0,0
sample_00201,32,6,4.5,0.0,0.0,0,0,0.0,0,0,0,0
sample_00202,31,4,7.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00203,40,8,4.125,0.0,0.0,0,0,0.0,0,0,0,0
sample_00204,34,5,6.0,0.1,0.3,3,1,0.0,0,0,0,0
sample_00205,29,5,5.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00206,30,6,4.166666666666667,0.19999999999999998,0.45,0,0,0.0,0,0,0,0
sample_00207,29,4,6.5,0.0,0.0,0,0,0.0,0,0,0,0
sample_00208,46,7,5.714285714285714,1.0,1.0,0,0,0.0,0,0,0,0
sample_00209,40,5,7.2,0.0,0.0,0,0,0.0,0,0,0,0
sample_00210,31,4,7.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00211,47,10,3.8,-0.4,0.75,0,0,0.0,0,0,0,0
sample_00212,32,6,4.5,0.0,0.0,0,0,0.0,0,0,0,0
sample_00213,28,4,6.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00214,36,4,8.25,0.0,0.0,0,1,0.0,0,0,0,0
sample_00215,44,6,6.5,0.25,0.25,0,0,0.0,0,0,0,0
sample_00216,37,6,5.333333333333333,0.0,0.0,0,0,0.0,0,0,0,0
sample_00217,30,6,4.166666666666667,-0.8,1.0,0,0,0.0,0,0,0,0
sample_00218,35,5,6.2,0.1,0.3,3,1,0.0,0,0,0,0
sample_00219,38,5,6.8,0.0,0.0,0,0,0.0,0,0,0,0
sample_00220,48,7,6.0,0.85,1.0,0,0,0.0,0,0,0,0
sample_00221,44,7,5.428571428571429,-0.8,1.0,0,0,0.0,0,0,0,0
sample_00222,30,6,4.166666666666667,0.25,1.0,0,0,0.0,0,0,0,0
sample_00223,27,4,6.0,0.05,0.55,1,0,0.0,0,0,0,0
sample_00224,32,6,4.5,0.0,0.0,0,0,0.0,0,0,0,0
sample_00225,40,6,5.833333333333333,0.0,0.0,0,0,0.0,0,0,0,0
sample_00226,31,4,7.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00227,31,4,7.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00228,43,6,6.333333333333333,-0.18333333333333335,0.35,0,0,0.0,0,0,0,0
sample_00229,27,5,4.6,-0.15,0.4,0,0,0.0,0,0,0,0
sample_00230,41,6,6.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00231,23,5,3.8,0.0,0.0,0,1,0.0,0,0,0,0
sample_00232,40,8,4.125,-0.8,0.8,0,0,0.0,0,0,0,0
sample_00233,40,6,5.833333333333333,0.0,0.0,0,0,0.0,0,0,0,0
sample_00234,43,8,4.5,0.0,0.0,0,0,0.0,0,0,0,0
sample_00235,34,5,6.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00236,51,7,6.428571428571429,0.85,1.0,0,0,0.0,0,0,0,0
sample_00237,32,4,7.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00238,25,5,4.2,0.0,0.0,0,1,0.0,0,0,0,0
sample_00239,38,7,4.571428571428571,-0.375,0.625,0,0,0.0,0,0,0,0
sample_00240,27,5,4.6,-0.6583333333333333,0.65,0,0,0.0,0,0,0,0
sample_00241,22,4,4.75,0.0,0.0,0,0,0.0,0,0,0,0
sample_00242,35,5,6.2,0.0,0.0,1,0,0.0,0,0,0,0
sample_00243,39,6,5.666666666666667,0.0,0.0,0,0,0.0,0,0,0,0
sample_00244,36,6,5.166666666666667,0.25,0.25,0,0,0.0,0,0,0,0
sample_00245,48,7,6.0,0.85,1.0,0,0,0.0,0,0,0,0
sample_00246,37,5,6.6,-0.2,0.0,0,0,0.0,0,0,0,0
sample_00247,28,5,4.8,0.0,0.0,0,0,0.0,0,0,0,0
sample_00248,34,5,6.0,0.0,0.4,0,1,0.0,0,0,0,0
sample_00249,44,7,5.428571428571429,1.0,1.0,0,0,0.0,0,0,0,0
sample_00250,32,4,7.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00251,41,5,7.4,0.0,0.0,0,0,0.0,0,0,0,0
sample_00252,34,5,6.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00253,51,7,6.428571428571429,0.85,1.0,0,0,0.0,0,0,0,0
sample_00254,32,4,7.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00255,37,6,5.333333333333333,0.0,0.0,0,0,0.0,0,0,0,0
sample_00256,32,4,7.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00257,33,4,7.5,0.0,0.0,0,0,0.0,0,0,0,0
sample_00258,37,7,4.428571428571429,-0.7142857142857143,0.8571428571428571,0,0,0.0,0,0,0,0
sample_00259,30,4,6.75,0.0,0.0,0,0,0.0,0,0,0,0
sample_00260,32,4,7.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00261,41,6,6.0,0.1,0.1,0,0,0.0,0,0,0,0
sample_00262,38,6,5.5,-0.8,1.0,0,2,0.0,0,0,0,0
sample_00263,39,6,5.666666666666667,0.0,0.0,0,0,0.0,0,0,0,0
sample_00264,34,6,4.833333333333333,0.5,1.0,0,0,0.0,0,0,0,0
sample_00265,33,4,7.5,0.1,0.55,1,0,0.0,0,0,0,0
sample_00266,44,7,5.428571428571429,-0.8,1.0,0,0,0.0,0,0,0,0
sample_00267,28,4,6.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00268,25,5,4.2,-1.0,1.0,0,0,0.0,0,0,0,0
sample_00269,34,5,6.0,0.0,0.4,0,1,0.0,0,0,0,0
sample_00270,37,6,5.333333333333333,0.0,0.0,0,0,0.0,0,0,0,0
sample_00271,34,5,6.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00272,35,5,6.2,0.0,0.0,1,0,0.0,0,0,0,0
sample_00273,43,6,6.333333333333333,0.2,0.30000000000000004,0,0,0.0,0,0,0,0
sample_00274,40,8,4.125,-0.2,0.0,0,0,0.0,0,0,0,0
sample_00275,39,5,7.0,-0.16666666666666666,0.5,0,0,0.0,0,0,0,0
sample_00276,28,4,6.25,0.05,0.55,1,0,0.0,0,0,0,0
sample_00277,44,6,6.5,0.25,0.25,0,0,0.0,0,0,0,0
sample_00278,44,7,5.428571428571429,1.0,1.0,0,0,0.0,0,0,0,0
sample_00279,34,5,6.0,-0.16666666666666666,0.5,0,0,0.0,0,0,0,0
sample_00280,27,5,4.6,-0.875,1.0,0,2,0.0,0,0,0,0
sample_00281,34,5,6.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00282,32,5,5.6,0.0,0.0,1,0,0.0,0,0,0,0
sample_00283,44,7,5.428571428571429,0.2,0.9,0,0,0.0,0,0,0,0
sample_00284,32,5,5.6,0.0,0.0,0,0,0.0,0,0,0,0
sample_00285,40,6,5.833333333333333,0.0,0.0,0,0,0.0,0,0,0,0
sample_00286,35,6,5.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00287,43,7,5.285714285714286,1.0,1.0,0,0,0.0,0,0,0,0
sample_00288,40,6,5.833333333333333,0.04999999999999999,0.85,3,0,0.0,0,0,0,0
sample_00289,30,6,4.166666666666667,0.5,0.5,0,0,0.0,0,0,0,0
sample_00290,33,4,7.5,0.0,0.0,0,0,0.0,0,0,0,0
sample_00291,26,5,4.4,0.2,0.30000000000000004,0,0,0.0,0,0,0,0
sample_00292,44,7,5.428571428571429,1.0,1.0,0,0,0.0,0,0,0,0
sample_00293,25,5,4.2,-1.0,1.0,0,0,0.0,0,0,0,0
sample_00294,32,4,7.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00295,41,6,6.0,0.2,0.30000000000000004,0,0,0.0,0,0,0,0
sample_00296,41,5,7.4,0.0,0.0,0,0,0.0,0,0,0,0
sample_00297,47,7,5.857142857142857,0.85,1.0,0,0,0.0,0,0,0,0
sample_00298,30,6,4.166666666666667,-0.8,0.8,0,0,0.0,0,0,0,0
sample_00299,34,6,4.833333333333333,0.5,1.0,0,0,0.0,0,0,0,0
